"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"FD3","Fiducial_Round","2840mil","160mil","2840mil","160mil","2840mil","160mil","T","0.00","Fiducial Mark"
"FD2","Fiducial_Round","2860mil","2155mil","2860mil","2155mil","2860mil","2155mil","T","0.00","Fiducial Mark"
"FD1","Fiducial_Round","80mil","520mil","80mil","520mil","80mil","520mil","T","0.00","Fiducial Mark"
"R35","SMD_RES_0402","2250mil","1825mil","2250mil","1825mil","2232.283mil","1825mil","T","180.00","49.9"
"C27","SMD_CAP_0402","2250mil","1790mil","2250mil","1790mil","2267.717mil","1790mil","T","360.00","0.047uF"
"C26","SMD_CAP_0402","2250mil","1755mil","2250mil","1755mil","2267.717mil","1755mil","T","360.00","0.1uF"
"u10","SG-3040LC","1195mil","450mil","1195mil","450mil","1145.787mil","402.756mil","T","90.00","SG-3040LC"
"R57","SMD_Resistor_0603","2290mil","2200mil","2290mil","2200mil","2317.5mil","2200mil","T","360.00","1k"
"R56","SMD_Resistor_0603","2050mil","2200mil","2050mil","2200mil","2077.5mil","2200mil","T","360.00","1k"
"L13","CBC3225T101MR","2310mil","2115mil","2310mil","2115mil","2254.685mil","2115mil","T","360.00","Ferrite Bead"
"L12","CIG21L4R7MNE","2050mil","2140mil","2050mil","2140mil","2015.158mil","2140mil","T","360.00","Ferrite Bead"
"L11","BLM18KG601SN1D","2465mil","2095mil","2465mil","2095mil","2437.5mil","2095mil","T","360.00","Ferrite Bead"
"C77","SMD_CAP_0402","2465mil","2200mil","2465mil","2200mil","2482.717mil","2200mil","T","360.00",".1uF"
"C76","SMD_Capacitor_0603","2465mil","2150mil","2465mil","2150mil","2492.5mil","2150mil","T","360.00","4.7uF"
"U8","DRY6","2370mil","1964.842mil","2370mil","1964.842mil","2389.685mil","1980mil","T","270.00","TPS62231DRYT"
"L5","LQM21PN2R2MC0D","2480mil","1945mil","2480mil","1945mil","2480mil","1979.842mil","T","270.00","Ferrite Bead"
"J2","PCBComponent_1_-_duplicate","2750mil","315.079mil","2750mil","-55mil","2777.559mil","567.047mil","T","90.00","DC-Power Jack"
"C75","SMD_Capacitor_0603","2370mil","1905mil","2370mil","1905mil","2342.5mil","1905mil","T","180.00","4.7uF"
"C74","SMD_Capacitor_0603","2290mil","1975mil","2290mil","1975mil","2290mil","1947.5mil","T","270.00","2.2uF"
"U4","WQFN48_for_DS90UB914A","1775mil","1630mil","1775mil","1630mil","1641.142mil","1738.268mil","T","0.00","DS90UR914A"
"TP2","TESTPIN","1590mil","1870mil","1590mil","1870mil","1590mil","1870mil","T","0.00","TESTPIN"
"TP1","TESTPIN","140mil","1795mil","140mil","1795mil","140mil","1795mil","T","360.00","TESTPIN"
"SW2","218-4LPST","1220mil","1740mil","1370mil","1665mil","1370mil","1665mil","T","180.00","SW_DIP_4Position"
"R46","SMD_Resistor_0603","2035mil","2065mil","2035mil","2065mil","2007.5mil","2065mil","T","180.00","?"
"R45","SMD_Resistor_0603","2035mil","1830mil","2035mil","1830mil","2007.5mil","1830mil","T","180.00","?"
"R44","SMD_Resistor_0603","2035mil","1930mil","2035mil","1930mil","2007.5mil","1930mil","T","180.00","?"
"R43","SMD_Resistor_0603","2035mil","2020mil","2035mil","2020mil","2062.5mil","2020mil","T","360.00","10k"
"R42","SMD_Resistor_0603","2035mil","1875mil","2035mil","1875mil","2062.5mil","1875mil","T","360.00","10k"
"R41","SMD_Resistor_0603","2035mil","1975mil","2035mil","1975mil","2062.5mil","1975mil","T","360.00","10k"
"R40","SMD_Resistor_0603","1310mil","1555mil","1310mil","1555mil","1310mil","1527.5mil","T","270.00","10k"
"R39","SMD_Resistor_0603","1260mil","1555mil","1260mil","1555mil","1260mil","1527.5mil","T","270.00","10k"
"R38","SMD_Resistor_0603","1210mil","1555mil","1210mil","1555mil","1210mil","1527.5mil","T","270.00","10k"
"R37","SMD_Resistor_0603","1160mil","1555mil","1160mil","1555mil","1160mil","1527.5mil","T","270.00","10k"
"R34","SMD_RES_0402","1725mil","1905mil","1725mil","1905mil","1707.283mil","1905mil","T","180.00","49.9"
"L4","BLM18KG601SN1D","1910mil","2065mil","1910mil","2065mil","1937.5mil","2065mil","T","180.00","Ferrite Bead"
